id,unitName,unitType,themeSongRes,member0,member1,member2,member3,member4,#member0,#member1,#member2,#member3,#member4
1,뉴 제너레이션,titleheroine,流れ星キセキ,1,2,3,,,시마무라 우즈키,시부야 린,혼다 미오,,
2,핑크 체크 스쿨,initialcostume,,1,23,47,,,시마무라 우즈키,코히나타 미호,이가라시 쿄코,,
3,옐로 릴리,initialcostume,,4,24,48,61,66,나카노 유카,미즈모토 유카리,시이나 노리코,이마이 카나,마나카 미사토
4,핑크 도트 벌룬,initialcostume,,5,25,40,62,,미무라 카나코,모치다 아리사,오가타 치에리,야나세 미유키,
5,블루 나폴레옹,initialcostume,,6,26,49,63,17,마츠모토 사리나,아라키 히나,카미죠 하루나,카와시마 미즈키,사사키 치에
6,레드 발라드,initialcostume,,7,27,50,44,60,쿠로카와 치아키,키리노 아야,타카하시 레이코,아이카와 치나츠,토고 아이
7,선셋 노스탤지아,initialcostume,,3,28,51,,,혼다 미오,야구치 미우,마츠야마 쿠미코,,
8,카나리아 서머,initialcostume,,8,29,52,43,,류자키 카오루,아이노 나기사,오오츠키 유이,히메카와 유키,
9,라이트그린 세이프,initialcostume,,9,30,53,64,,키무라 나츠키,사이토 요코,사와다 마리나,마나베 이츠키,
10,핑키 큐트,dreamlivefestival,,1,23,40,,,시마무라 우즈키,코히나타 미호,오가타 치에리,,
11,핑크 체크 스쿨 eq,animoriginal,,1,23,,,,시마무라 우즈키,코히나타 미호,,,
12,트라이어드 프리무스,friendship,Trancing Pulse,2,31,54,,,시부야 린,카미야 나오,호죠 카렌,,
13,뉴 웨이브,friendship,,10,32,55,,,무라마츠 사쿠라,오오이시 이즈미,츠치야 아코,,
14,포지티브 패션,friendship,,3,33,56,,,혼다 미오,히노 아카네,타카모리 아이코,,
15,프릴드 스퀘어,friendship,,11,34,57,65,,쿠도 시노부,아야세 호노카,키타미 유즈,모모이 아즈키,
16,귀여운 나와 142's,special,,12,35,45,,,코시미즈 사치코,시라사카 코우메,호시 쇼코,,
17,냥.냥.냥,special,,13,36,39,,,마에카와 미쿠,타카미네 노아,아나스타샤,,
18,섹시 길티,special,,14,37,58,,,카타기리 사나에,오이카와 시즈쿠,호리 유코,,
19,인디비쥬얼즈,special,,15,20,45,,,하야사카 미레이,모리쿠보 노노,호시 쇼코,,
20,언더 더 데스크,special,,16,20,45,,,사쿠마 마유,모리쿠보 노노,호시 쇼코,,
21,L.M.B.G,special,,17,38,,,,사사키 치에,요코야마 치카,,,
22,러브 라이카,animoriginal,Memories,18,39,,,,닛타 미나미,아나스타샤,,,
23,캔디 아일랜드,animoriginal,Happy×2 Days,5,40,46,,,미무라 카나코,오가타 치에리,후타바 안즈,,
24,데코레이션,animoriginal,LET'S GO HAPPY!!,19,41,21,,,죠가사키 리카,아카기 미리아,모로보시 키라리,,
25,*(아스테리스크),animoriginal,ØωØver!!,13,42,,,,마에카와 미쿠,타다 리이나,,,
26,귀여운 나와 야구이어요,animoriginal,,12,43,59,,,코시미즈 사치코,히메카와 유키,코바야카와 사에,,
27,핑크 도트 벌룬 eq,initialcostume,,5,25,40,,,미무라 카나코,모치다 아리사,오가타 치에리,,
28,블루 나폴레옹 eq,initialcostume,,6,26,49,,,마츠모토 사리나,아라키 히나,카미죠 하루나,,
