iD,charactername,appearLevel,charType,age,voiceactor,resource,icon,firstname,rankRCardName,rankSRCardName,rankSSRCardName
1,시마무라 우즈키,0,Cute,17,오오하시 아야카,,,우즈키,2nd 애니버서리,신춘의 화려한 공주,피스풀 데이즈
2,시부야 린,0,Cool,15,후쿠하라 아야카,,,린,2nd 애니버서리,아이올라이트 고딕,오버 마이셀프
3,혼다 미오,0,Passion,15,하라 사유리,,,미오,2nd 애니버서리,퍼펙트 스타,원더 엔터테이너
4,죠가사키 미카,0,Passion,17,요시무라 하루카,,,미카,갸루 블로섬,카리스마 갸루,하트★오버플로우
5,죠가사키 리카,0,Passion,12,야마모토 노조미,,,리카,하이컬러 사쿠라,카리스마 꼬마 갸루,키라데코☆퍼레이드
6,후타바 안즈,0,Cute,17,이가라시 히로미,,,안즈,하이컬러 사쿠라,게으름 요정,게으른 왕국
7,모로보시 키라리,0,Passion,17,마츠자키 레이,,,키라리,쿄마치 소녀,러블리 프린세스,그레이트 프레젠트
8,아카기 미리아,0,Passion,11,쿠로사와 토모요,,,미리아,팝핀팝핀,꼬맹이 악마,해피 휩
9,미무라 카나코,0,Cute,17,오오츠보 유카,,,카나코,봄바람 스포츠,멀티 스위트,화이트 위치
10,오가타 치에리,0,Cute,16,오오조라 나오미,,,치에리,파자마 파티,클로버 엔젤,꿈빛 클로버
11,마에카와 미쿠,0,Cute,15,타카모리 나츠미,,,미쿠,하이컬러 사쿠라,차밍 캣,캣 파티
12,타다 리이나,0,Cool,17,아오키 루리코,,,리이나,록킹 세션,록킹 걸,히트&비트
13,칸자키 란코,0,Cool,14,우치다 마아야,,,란코,칸자키 란코,각성마왕,장미의 암희
14,닛타 미나미,0,Cool,19,스자키 아야,,,미나미,섬머 라이브,미소의 여신,노블 비너스
15,아나스타샤,0,Cool,15,우에사카 스미레,,,아나스타샤,스타 유니버스,스노우 페어리,크리스탈 스노우
16,호시 쇼코,0,Passion,15,마츠다 사츠미,,,쇼코,크리스마스 파티,나이트메어 버섯,매쉬업★볼테이지
17,코시미즈 사치코,0,Cute,14,타케타츠 아야나,,,사치코,자칭･섹시 갸루,자칭･귀여운 아이,자칭･완벽
18,히메카와 유키,0,Passion,20,모리노 마코,,,유키,섬머 시즌,전력 치어걸,풀 스윙☆응원
19,코바야카와 사에,0,Cute,15,타치바나 리카,,,사에,하나비 마츠리,화사한 교토 소녀,꽃잎 흩날리는 절경
20,아베 나나,4,Cute,17,미야케 마리에,,,나나,아베 나나,스페이스☆우사밍,탱글탱글 우사밍
21,키무라 나츠키,6,Passion,18,야스노 키요노,,,나츠키,록 위즈 유,록킹 러버,이모셔널 비트
22,사쿠마 마유,7,Cute,16,마키노 유이,,,마유,미니온 루쥬,심홍의 인연,필 마이 하트
23,사사키 치에,8,Cool,11,이마이 아사카,,,치에,스터디 & 스테디,마칭☆메이저,하이파이☆데이즈(NY)
24,모리쿠보 노노,9,Cool,14,,,,노노,메르헨 북,네거티브 소녀,갈팡질팡 이스케이프(NY)
25,코히나타 미호,10,Cute,17,츠다 미나미,,,미호,성야,수줍은 소녀,유스풀 로맨스
26,카미야 나오,11,Cool,17,마츠이 에리코,,,나오,성야,부끄럼쟁이 소녀,오버 더 레인보우
27,호죠 카렌,12,Cool,16,후치가미 마이,,,카렌,호죠 카렌,반짝이는 소녀,반짝이는 한때
28,카타기리 사나에,13,Passion,28,와키 아즈미,,,사나에,데인저 프레시,데인저러스 어덜티,극락 언니(NY)
