id,level,exp,delta,basicRemainTurn,levelUpInfoText,#NewIdol,#debutLevel,#finddata
1,1,0,0,5,레벨1의 텍스트는 불려지지 않습니다. 불린다면 에러입니다!,#N/A,0,시마무라 우즈키
2,2,100,100,5,프로듀서! 당신은 오디션에서 멤버들을 선별하여 유닛으로 데뷔시켰습니다. ,#N/A,0,시부야 린
3,3,500,400,5,데뷔를 꿈꾸고 있던 신데렐라들이 고마워 합니다. 주변의 아이돌에게 오디션을 참가할 것을 권유하고 있습니다.,#N/A,0,혼다 미오
4,4,1100,600,5,새로운 오디션 참여 멤버: 아베 나나,아베 나나,0,죠가사키 미카
5,5,1900,800,5,이제 SP를 소모하여 스킬을 사용할 수 있습니다. 스킬을 사용하는 것으로 특정 멤버가 오디션장에 입장할 확률을 올릴 수 있습니다.,#N/A,0,죠가사키 리카
6,6,2900,1000,5,새로운 오디션 참여 멤버: 키무라 나츠키,키무라 나츠키,0,후타바 안즈
7,7,4100,1200,5,새로운 오디션 참여 멤버: 사쿠마 마유,사쿠마 마유,0,모로보시 키라리
8,8,5500,1400,5,새로운 오디션 참여 멤버: 사사키 치에,사사키 치에,0,아카기 미리아
9,9,7100,1600,5,새로운 오디션 참여 멤버: 모리쿠보 노노,모리쿠보 노노,0,미무라 카나코
10,10,9100,2000,5,새로운 오디션 참여 멤버: 코히나타 미호,코히나타 미호,0,오가타 치에리
11,11,11300,2200,5,새로운 오디션 참여 멤버: 카미야 나오,카미야 나오,0,마에카와 미쿠
12,12,13700,2400,5,새로운 오디션 참여 멤버: 호죠 카렌,호죠 카렌,0,타다 리이나
13,13,16300,2600,5,새로운 오디션 참여 멤버: 카타기리 사나에,카타기리 사나에,0,칸자키 란코
14,14,19100,2800,5,새로운 오디션 참여 멤버: 카와시마 미즈키,카와시마 미즈키,0,닛타 미나미
15,15,22100,3000,6,"새로운 오디션 참여 멤버: 히노 아카네 
오디션장에 입장한 멤버들이 머무르는 시간이 전보다 늘어납니다.",히노 아카네,0,아나스타샤
16,16,25300,3200,6,새로운 오디션 참여 멤버: 토토키 아이리,토토키 아이리,0,호시 쇼코
17,17,28700,3400,6,새로운 오디션 참여 멤버: 카미죠 하루나,카미죠 하루나,0,코시미즈 사치코
18,18,32300,3600,6,새로운 오디션 참여 멤버: 타카모리 아이코,타카모리 아이코,0,히메카와 유키
