id,unitName,unitType,themeSongRes,member0,member1,member2,member3,member4,#member0,#member1,#member2,#member3,#member4,membercount,Description
1,뉴 제너레이션,titleheroine,流れ星キセキ,1,2,3,,,시마무라 우즈키,시부야 린,혼다 미오,,,3,시마무라 우즈키. 시부야 린. 혼다 미오. 본 게임을 대표하는 타이틀 히로인 세 명으로 구성된 일종의 주인공 유닛
2,핑키 큐트,dreamlivefestival,,1,25,10,,,시마무라 우즈키,코히나타 미호,오가타 치에리,,,3,제1회 드림 LIVE 페스티벌 때 등장한 유닛
3,핑크 체크 스쿨 eq,animoriginal,ラブレター,1,25,,,,시마무라 우즈키,코히나타 미호,,,,2,멤버들의 노멀 특훈 의상이 전부 같았기 때문에 한 팀이라는 개념은 있었다. 그러나 '핑크 체크 스쿨'이라는 의상명이 알려진 건 푸치데렐라 등장 후[2014년]라고 한다. 애니메이션에서 미호와 우즈키가 유닛을 결성하여 활동하려다 우즈키의 방황[?]으로 인해 제대로된 활동은 하지 못했다.
4,트라이어드 프리무스,friendship,Trancing Pulse,2,26,27,,,시부야 린,카미야 나오,호죠 카렌,,,3,시부야 린. 카미야 나오. 호죠 카렌로 구성된 쿨 타입을 대표하는 트리오 유닛. [Trancing Pulse]라는 별도의 유닛곡이 존재한다. 애니메이션에도 등장한다. 콘서트에서도 별도의 무대가 있을 정도로 사랑받는 유닛
5,언더 더 데스크,special,,22,24,16,,,사쿠마 마유,모리쿠보 노노,호시 쇼코,,,3,사쿠마 마유. 모리쿠보 노노. 호시 쇼코로 구성된 유닛. 책상 밑에 사는 노노와 쇼코에 극장 381[382]화에서 마유가 책상 밑에 들어온 데에서 착안하였다. 이후 제 8회 드림 라이브 페스티벌에 이벤트 유닛으로 등장
6,러브 라이카,animoriginal,Memories,14,15,,,,닛타 미나미,아나스타샤,,,,2,LOVE LAIKA. 일어 표기는 ラブライカ. 닛타 미나미와 아나스타샤로 구성된 쿨 타입 유닛. 라이카는 세계 최초의 러시아 우주견인 라이카[LAIKA]에서 따왔다고 한다. 별을 좋아하는 러시아 소녀 아나스타샤를 의식한 명칭. 
7,캔디 아일랜드,animoriginal,Happy×2 Days,9,10,6,,,미무라 카나코,오가타 치에리,후타바 안즈,,,3,후타바 안즈. 미무라 카나코. 오가타 치에리로 구성된 큐트 타입 유닛. 안즈가 일하기 싫다는 식의 이상한 발언을 하면 치에리와 카나코가 잘못을 지적하는 형태로 이야기가 진행되는 경우가 많다.
8,데코레이션,animoriginal,LET'S GO HAPPY!!,5,8,7,,,죠가사키 리카,아카기 미리아,모로보시 키라리,,,3,모로보시 키라리. 죠가사키 리카. 아카기 미리아로 구성된 패션 타입 유닛. 凸レーション라고 적기도 하는데 키라리를 중심으로 양쪽에 작은 멤버 혹은 연장자인 키라리를 중심으로 양쪽에 어린 멤버란 의미로 이해할 수도 있다.
9,*'아스테리스크',animoriginal,ØωØver!!,11,12,,,,마에카와 미쿠,타다 리이나,,,,2,마에카와 미쿠. 타다 리이나로 구성된 유닛. 한 명이 쿨 타입이지만 데레스테에선 대표곡인 [ØωØver!!]가 큐트 타입곡으로 나온다. 이유는 모르겠지만... 유닛명을 정하기 전에 [＊]라고 적어두었던 것을 치히로씨가 라틴어로 읽었다. 그것을 멤버들이 마음에 들어하여 결정된 이름. 일본어론 [アスタリスク]라고 적는데 이 게임에선 공식 자막의 표기를 따라 아스테리스크라고 적는다.
10,귀여운 나와 야구이어요,animoriginal,,17,18,19,,,코시미즈 사치코,히메카와 유키,코바야카와 사에,,,3,일본어로는 カワイイボクと野球どすえ라고 적는다. Kawaii Bokuto Yakyu Dosue 줄여서 'KBYD'라고도 부른다. 코시미즈 사치코가 귀여운 나. 히메카와 유키가 야구. 코바야카와 사에가 도스에[교토 지역어]를 맡고 있다. 애니메이션에서는 캔디 아일랜드와의 접점이 많았던 유닛
11,가짜라이카,special,,15,25,,,,아나스타샤,코히나타 미호,,,,2,데레스테 관련 니코니코동화 생방송에서는 단발성으로 우에사카 스미레와 코히나타 미호 역의 츠다 미나미가 가짜라이카[ニセライカ]란 유닛을 만들었다. 러브 라이카의 닛타 미나미를 이름이 비슷한 츠다 미나미가 맡고 있는 캐릭터 코히나타 미호로 바꾼 일종의 성우 장난 유닛.
12,아냥 미쿠냥,special,,11,15,,,,마에카와 미쿠,아나스타샤,,,,2,아이돌 LIVE 로얄 in SUMMER 때 등장한 유닛
13,사일런트 스크리머,special,,24,16,,,,모리쿠보 노노,호시 쇼코,,,,2,아이돌 LIVE 투어 카니발 in 독일 때 등장한 유닛
14,HappyHappyTwin,special,あんきら!?狂騒曲,7,6,,,,모로보시 키라리,후타바 안즈,,,,2,아이돌 LIVE 투어 in 스페인 때 등장한 유닛이지만 신데렐라걸즈 세계관 내에서도 가장 메이저한 유닛[안키라 조합]이랄 수 있다. 동일한 구성으로 이름을 조금씩 바꾸면서 여러번 등장하였다. 최근 데레스테에서 [あんきら!?狂騒曲] 이란 듀엣곡으로도 등장하였다.
15,패밀리어 트윈,special,,4,5,,,,죠가사키 미카,죠가사키 리카,,,,2,아이돌 LIVE 투어 in 이탈리아 때 등장한 유닛. 둘의 자매 관계에 있기 때문에 많은 접점을 가지고 있다. 딱히 듀엣곡은 없는 것 같지만 2ND 콘서트에서 리카의 솔로곡 부분에 미카 역할의 성우가 등장한 적은 있다.
16,Jumpin'Joke,special,,34,8,,,,시라사카 코우메,아카기 미리아,,,,2,제9회 드림 LIVE 페스티벌 때 등장한 유닛
17,리카와 코우메의 파티 프렌즈,special,,5,34,,,,죠가사키 리카,시라사카 코우메,,,,2,산타 DE 드림 LIVE 페스티벌 때 등장한 유닛
18,스노우 페어리즈,special,,34,15,,,,시라사카 코우메,아나스타샤,,,,2,프로덕션 대항!! 드림 LIVE 페스티벌 때 등장한 유닛. 시라사카 코우메. 아나스타샤로 구성되어 있다. 동일한 구성으로 다른 이벤트에서는 하얀 요정들이란 이름으로 등장한 적도 있다.
19,NiGHT ENCOUNTER,special,,34,16,,,,시라사카 코우메,호시 쇼코,,,,2,제11회 아이돌 LIVE 로얄 때 등장한 유닛
20,WtF 미리아&코우메&리카,special,,8,34,5,,,아카기 미리아,시라사카 코우메,죠가사키 리카,,,3,제9회 아이돌 LIVE 로얄 때 등장한 유닛. 
21,Casket from SS,special,オルゴールの小箱,29,34,26,27,15,카와시마 미즈키,시라사카 코우메,카미야 나오,호죠 카렌,아나스타샤,5,데레스테 이벤트 작은 오르골 상자[オルゴールの小箱] 때 등장한 유닛. 유닛명은 보석상자란 의미이다.
22,귀여운 나와 142's,special,,17,34,16,,,코시미즈 사치코,시라사카 코우메,호시 쇼코,,,3,제1회 드림 LIVE 페스티벌 때 등장한 유닛. 코시미즈 사치코가 귀여운 나. 나머지 두명의 키가 142여서 정해진 이름
23,샤이닝 갓 체리,special,,26,16,10,,,카미야 나오,호시 쇼코,오가타 치에리,,,3,데레라지 이벤트에 각 속성별로 게스트로 온 3명에게 유닛명을 정해주는 대결이 있었다. 중2병 속성을 가진 후쿠하라 아야카[시부야 린 역할의 성우]가 포함된 쿨 팀에서 지어준 이름. 쇼코의 [輝]에서 Shining. 카미야의 [神]에서 God. 치에리에서 Cherry를 가져왔다. 멋진 이름인만큼 대결에서는 역시 쿨 팀의 승리. 데레스테의 카미야 나오의 커뮤를 보면 트라프리와 샤이닝갓체리의 조합으로 이야기가 진행된다.
24,록킹 걸,special,,9,5,12,,,미무라 카나코,죠가사키 리카,타다 리이나,,,3,아이돌 LIVE 투어 in 영국 때 등장한 유닛
25,경정소녀,special,,7,10,26,,,모로보시 키라리,오가타 치에리,카미야 나오,,,3,아이돌 LIVE 투어 카니발 in 독일 때 등장한 유닛
26,리틀 엔젤스,special,,10,13,17,,,오가타 치에리,칸자키 란코,코시미즈 사치코,,,3,아이돌 LIVE 투어 카니발 in 스페이스 월드 때 등장한 유닛
27,임시 라이카,special,,15,13,,,,아나스타샤,칸자키 란코,,,,2,애니메이션에서 여러가지 이유로 열이 나서 무대에 서지 못한 닛타 미나미를 대신하여 란코가 아나스타샤와 함께 무대에 올랐다.
28,슬리핑 버섯 with 우즈키,special,,1,6,16,,,시마무라 우즈키,후타바 안즈,호시 쇼코,,,3,히나마츠리 LIVE 투어 카니발 때 등장한 유닛
29,트라이어드 프리무스 -N.R-,friendship,,2,26,,,,시부야 린,카미야 나오,,,,2,히나마츠리 LIVE 투어 카니발 때 등장한 유닛. 트라프리에서 카렌이 빠진 구성으로 데레 3RD에선 이 구성으로 무대에 섰다. 이 풍경을 카렌에게도 보여주고 싶었는데... [카렌은 결국 ㅠㅠ???]
30,여름색 아가씨,special,,19,25,,,,코바야카와 사에,코히나타 미호,,,,2,여름 축제 DE 드림 LIVE 페스티벌 때 등장한 유닛. 동일한 구성으로 다른 이벤트[히나마츠리 LIVE 투어 카니발]에선 봄색 아가씨란 이름으로 등장하기도 했었다. 혹시 가을색이나 겨울색이 등장할 지도 모른다.
31,마그나 위치즈,special,,25,32,,,,코히나타 미호,타카모리 아이코,,,,2,마계공연 유울여왕과 할로윈 축제 때 등장한 유닛
32,스몰하트 트릭스터,special,,24,23,,,,모리쿠보 노노,사사키 치에,,,,2,마계공연 유울여왕과 할로윈 축제 때 등장한 유닛
33,해피해피 데몬 트윈&타천마왕 란코,special,,7,13,6,,,모로보시 키라리,칸자키 란코,후타바 안즈,,,3,마계공연 유울여왕과 할로윈 축제 때 등장한 유닛
34,록 더 비트,special,Jet to the Future,21,12,,,,키무라 나츠키,타다 리이나,,,,2,제1회 드림 LIVE 페스티벌 때 등장한 유닛. 신데렐라걸즈 세계관에서 가장 유명한 조합 중에 하나. 데레스테에선 [Jet to the Future] 이벤트에 등장했고 동명의 듀엣곡이 존재한다.
35,홀리 프레젠트,special,,29,17,25,,,카와시마 미즈키,코시미즈 사치코,코히나타 미호,,,3,프로덕션 대항!! 드림 LIVE 페스티벌 때 등장한 유닛
36,over the blue,special,,14,15,29,,,닛타 미나미,아나스타샤,카와시마 미즈키,,,3,제5회 드림 LIVE 페스티벌 때 등장한 유닛
37,397cherry,special,,11,20,10,,,마에카와 미쿠,아베 나나,오가타 치에리,,,3,마에카와 미쿠. 아베 나나. 오가타 치에리 때 등장한 유닛. 미쿠을 숫자로 바꿔 읽었을 때의 [39]. 동일한 방식으로 나나의 [7]. 치에리를 Cherry를 더하여 만든 이름
38,*'아스테리스크' with 나츠나나,special,,11,12,20,21,,마에카와 미쿠,타다 리이나,아베 나나,키무라 나츠키,,4,애니메이션의 아스테리스크에 리이나와 관계가 있는 나츠키에 동물 한마리[토끼]를 더한 유닛. 록 아이돌 2명과 고양이귀 아이돌 1명이 될 경우 균형이 나쁘기 때문에 토끼 아이돌[동물]인 나나를 더하여 균형을 잡자는 의미.
39,크리스마스 메모리즈,special,,20,32,27,,,아베 나나,타카모리 아이코,호죠 카렌,,,3,산타 DE 드림 LIVE 페스티벌 때 등장한 유닛
40,하이칼라 벚꽃,special,,14,11,6,,,닛타 미나미,마에카와 미쿠,후타바 안즈,,,3,꽃구경 DE 드림 LIVE 페스티벌 때 등장한 유닛
41,미오&리이나 from C.P,special,,3,12,,,,혼다 미오,타다 리이나,,,,2,제9회 드림 LIVE 페스티벌 때 등장한 유닛. 두 명은 [신데렐라 파티]라는 라디오 방송을 같이 진행하고 있다. ゴキゲンParty Night이 절대적으로 데레파 관련곡이라고 한정짓기엔 무리가 있다. 하지만 데레스테 이벤트에서 해당 곡 이벤트 보상으로 미오와 리이나를 주었다. 그리고 둘이 그려진 자켓 사진도 있는 등 어느 정도 관련은 있다고 봐도 될 것 같다.
42,란코&치에리 from 브라이덜,special,,13,10,,,,칸자키 란코,오가타 치에리,,,,2,제13회 드림 LIVE 페스티벌 때 등장한 유닛
43,나오&카렌 from 브라이덜,special,,26,27,,,,카미야 나오,호죠 카렌,,,,2,여름 축제 DE 드림 LIVE 페스티벌 때 등장한 유닛
44,마시멜로 애슬리트,special,,9,18,,,,미무라 카나코,히메카와 유키,,,,2,제15회 드림 LIVE 페스티벌 때 등장한 유닛. 아마 카나코가 마시멜로 담당. 유키가 애슬리트 담당일 것 같다.
45,LOVE LAIKA with Rosenburg Engel,special,この空の下,14,15,13,,,닛타 미나미,아나스타샤,칸자키 란코,,,3,제17회 드림 LIVE 페스티벌 때 등장한 유닛. 애니메이션에서도 이 3명이 자주 어울렸다. 미나미가 아플 때 대신 무대를 서준 것도 란코였다. 이후 3명이 유닛으로 [この空の下]란 노래를 부른 적도 있다. 비너스 신드롬을 란코가 부른 버전도 있으니 어쨌든 특별한 관계인 것 같다.
46,록 더 비트 with 우사밍,special,,20,21,12,,,아베 나나,키무라 나츠키,타다 리이나,,,3,드림 LIVE 페스티벌 신춘 SP 때 등장한 유닛. *'아스테리스크' with 나츠나나에서 미쿠가 빠진 형태
47,퍼니 데빌 ,special,,14,8,17,,,닛타 미나미,아카기 미리아,코시미즈 사치코,,,3,제3회 아이돌 LIVE 로얄 때 등장한 유닛
48,미카와 카렌의 우즈키를 귀엽게 하고싶은 부대,special,,4,27,1,,,죠가사키 미카,호죠 카렌,시마무라 우즈키,,,3,제5회 아이돌 LIVE 로얄 때 등장한 유닛. 미카와 카렌은 패션 센스가 좋다는 설정인데 비해 우즈키는 애니메이션에서도 패션에 대한 고민을 드러내는 부분이 있다. 하지만 애니메이션에서 우즈키에게 옷을 골라주는 건 오히려 키라링 선생님과 미오와 린에 미쿠와 리이나 그리고 란코였다. 결론적으로는 그냥 평상시처럼 입는 걸로 결정났다. 그리고 키라링 선생님이 네일도 해주고 머리도 정리해 주었으니 어쨌든 좋은 결론!
49,리카・린・미쿠[출장중],special,,5,2,11,,,죠가사키 리카,시부야 린,마에카와 미쿠,,,3,제7회 아이돌 LIVE 로얄 때 등장한 유닛
50,나나&미쿠 from PM,special,,20,11,,,,아베 나나,마에카와 미쿠,,,,2,제8회 아이돌 LIVE 로얄 때 등장한 유닛. 고양이와 토끼 동물 조합
51,미즈키 from PM &사치코,special,,29,17,,,,카와시마 미즈키,코시미즈 사치코,,,,2,제8회 아이돌 LIVE 로얄 때 등장한 유닛
52,사에&마유 from PM,special,,19,22,,,,코바야카와 사에,사쿠마 마유,,,,2,제8회 아이돌 LIVE 로얄 때 등장한 유닛
53,치에리&우즈키 from PM,special,,10,1,,,,오가타 치에리,시마무라 우즈키,,,,2,제8회 아이돌 LIVE 로얄 때 등장한 유닛
54,신춘 게스트 미호&나나,special,,20,25,,,,아베 나나,코히나타 미호,,,,2,제9회 아이돌 LIVE 로얄 때 등장한 유닛
55,로얄 듀오,special,,29,28,,,,카와시마 미즈키,카타기리 사나에,,,,2,아이돌 LIVE 로얄 발렌타인 SP. 제11회 아이돌 LIVE 로얄 때 등장한 유닛
56,Happy 7.27,special,,14,11,7,,,닛타 미나미,마에카와 미쿠,모로보시 키라리,,,3,제13회 아이돌 LIVE 로얄 때 등장한 유닛. 7월 27일은 미나미의 생일. 해피는 굳이 키라리와 연결짓는다고 치자. 미쿠는 왜 이 유닛에 포함되어 있는가?
57,하드 코어☆업,special,,21,16,,,,키무라 나츠키,호시 쇼코,,,,2,아이돌 LIVE 로얄 크리스마스 SP 때 등장한 유닛. 의외로 록이란 접점은 있는 편. 애니메이션에서도 유닛으로 데뷔할 뻔 했었음.
58,스위트 러버즈,special,,9,69,,,,미무라 카나코,토토키 아이리,,,,2,제2회 아이돌 LIVE 로얄 때 등장한 유닛
59,봉사 메이드`s,special,,26,19,69,,,카미야 나오,코바야카와 사에,토토키 아이리,,,3,제4회 아이돌 LIVE 로얄 때 등장한 유닛. 드림 LIVE 페스티벌 신춘 SP에서는 청소 야마토 나데시코란 이름으로 등장함.
60,마을에 사는 영애,special,,71,24,,,,사쿠라이 모모카,모리쿠보 노노,,,,2,서부공연 건슬링거 저니 때 등장한 유닛
